Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident_Severity
Clear,Rural Road,Morning,0,60,Dry,Car,69,41,Daylight,0
Rainy,Highway,Night,2,80,Wet,Car,43,14,Artificial Light,1
Clear,City Road,Evening,1,50,Dry,Car,19,0,Artificial Light,0
Stormy,Highway,Afternoon,0,60,Wet,Truck,18,0,Artificial Light,0
Rainy,Highway,Afternoon,2,100,Wet,Car,34,7,Daylight,1
Clear,Highway,Evening,1,80,Dry,Bus,34,6,Artificial Light,0
Clear,Highway,Afternoon,0,60,Dry,Car,48,20,Artificial Light,0
Clear,City Road,Evening,,80,Dry,Car,24,3,Artificial Light,0
Stormy,Highway,Night,1,80,Wet,Car,30,4,Artificial Light,0
Clear,Highway,Afternoon,1,120,Dry,Car,49,24,Artificial Light,0
Snowy,Highway,Night,0,100,Icy,Car,27,3,Artificial Light,0
Clear,City Road,Evening,0,30,Wet,Car,36,13,Daylight,0
Clear,Rural Road,Morning,1,60,Dry,Car,39,11,Daylight,0
Foggy,Rural Road,Afternoon,0,100,Dry,Car,66,42,Daylight,0
Clear,City Road,Morning,0,30,Dry,Car,34,7,Daylight,0
Rainy,City Road,Afternoon,2,80,Wet,Bus,35,7,Artificial Light,1
Rainy,Rural Road,Afternoon,,50,Wet,Car,50,26,Artificial Light,0
Clear,Highway,Afternoon,1,60,Dry,Car,22,2,Artificial Light,0
Stormy,City Road,Afternoon,0,60,Under Construction,Car,44,18,Artificial Light,1
Clear,Rural Road,Afternoon,0,80,Dry,Car,43,19,Artificial Light,0
Rainy,City Road,Evening,2,80,Wet,Car,51,29,Daylight,1
Clear,Highway,Afternoon,1,50,Dry,Car,65,42,Artificial Light,0
Clear,Highway,Afternoon,0,80,Dry,Car,50,30,Artificial Light,1
Snowy,Highway,Afternoon,0,80,Under Construction,Car,35,9,Daylight,1
Clear,City Road,Evening,0,60,Dry,Car,23,2,Daylight,0
Snowy,Rural Road,Afternoon,2,100,Icy,Car,40,16,Daylight,1
Rainy,City Road,Morning,2,100,Wet,Car,54,29,Daylight,1
Rainy,Highway,Afternoon,0,80,Wet,Truck,39,18,Artificial Light,0
Clear,Highway,Morning,1,80,Dry,Truck,69,41,Daylight,0
Clear,City Road,Evening,1,80,Dry,Car,67,47,Artificial Light,0
Clear,City Road,Evening,1,80,Dry,Car,25,3,Artificial Light,0
Clear,City Road,Evening,2,60,Dry,Car,66,40,Artificial Light,0
Clear,City Road,Afternoon,1,60,Dry,Car,67,45,Artificial Light,0
Rainy,Highway,Night,1,100,Under Construction,Car,53,33,Artificial Light,1
Rainy,Rural Road,Afternoon,2,80,Wet,Car,36,11,Daylight,1
Clear,City Road,Night,1,50,Dry,Car,25,3,Artificial Light,0
Rainy,Rural Road,Afternoon,1,100,Wet,Truck,43,12,Daylight,1
Stormy,Highway,Night,1,50,Under Construction,Car,68,44,Artificial Light,0
Clear,Highway,Afternoon,1,80,Dry,Bus,24,2,Daylight,0
Clear,Highway,Morning,0,30,Dry,Car,69,42,Daylight,0
Clear,City Road,Afternoon,1,60,Dry,Car,57,35,Artificial Light,0
Clear,Highway,Night,1,80,Dry,Car,53,31,Artificial Light,0
Clear,Rural Road,Evening,0,50,Dry,Car,23,2,Daylight,0
Rainy,City Road,Afternoon,1,80,Wet,Car,43,22,Artificial Light,1
Snowy,Rural Road,Night,1,80,Under Construction,Car,48,19,Artificial Light,0
Clear,Highway,Afternoon,0,50,Dry,Car,58,36,Daylight,0
Stormy,City Road,Afternoon,1,100,Wet,Car,68,42,Daylight,0
Clear,City Road,Afternoon,0,80,Dry,Car,33,11,Artificial Light,0
Clear,Highway,Afternoon,1,80,Dry,Truck,31,7,Artificial Light,0
Clear,Highway,Afternoon,1,80,Dry,Bus,46,20,Daylight,0
Snowy,City Road,Evening,2,80,Icy,Bus,19,0,Artificial Light,0
Clear,Highway,Morning,0,60,Dry,Truck,28,0,Daylight,0
Clear,City Road,Afternoon,1,60,Dry,Truck,23,2,Daylight,0
,City Road,Afternoon,0,80,Icy,Car,33,10,Daylight,1
Rainy,Highway,Night,2,80,Wet,Car,27,2,Artificial Light,1
Clear,Highway,Evening,1,60,Dry,Car,32,6,No Light,0
Clear,Highway,Evening,1,60,Dry,Car,61,36,Artificial Light,0
Clear,City Road,Afternoon,0,80,Dry,Car,37,17,Artificial Light,0
Rainy,City Road,Afternoon,2,80,Wet,Car,57,28,Artificial Light,1
Rainy,Highway,Afternoon,1,80,Wet,Truck,24,3,Artificial Light,0
Clear,City Road,Afternoon,1,50,Dry,Car,25,3,Daylight,0
Clear,Highway,Afternoon,1,80,Dry,Car,56,31,Artificial Light,0
Clear,City Road,Afternoon,2,100,Dry,Car,21,1,Artificial Light,0
Rainy,Highway,Afternoon,2,100,Wet,Car,43,25,Daylight,0
Clear,Highway,Evening,0,80,Dry,Car,36,15,Artificial Light,0
Clear,City Road,Afternoon,1,50,Dry,Car,20,1,Daylight,0
Clear,City Road,Morning,1,80,Dry,Car,21,1,Daylight,0
Rainy,Highway,Morning,2,100,Wet,Car,56,28,Daylight,1
Snowy,Highway,Morning,0,30,Under Construction,Car,43,19,Daylight,0
Clear,City Road,Evening,1,50,Dry,Car,18,0,Artificial Light,0
Clear,Rural Road,Afternoon,0,80,Dry,Car,53,25,Daylight,0
Rainy,City Road,Evening,0,60,Under Construction,Car,33,7,Artificial Light,0
Clear,Highway,Night,1,30,Dry,Car,23,2,Artificial Light,0
Rainy,Rural Road,Evening,2,80,Wet,Car,52,26,Daylight,1
Clear,Highway,Evening,1,30,Dry,Car,43,14,Artificial Light,0
Clear,Highway,Afternoon,1,60,Dry,Car,25,3,Artificial Light,0
Clear,Highway,Afternoon,1,60,Dry,Car,29,1,Artificial Light,0
